stem_count,model_name,model_hash,elapsed_seconds,quality_score_10pt,rank_within_stem_group,stem_group_size,
4,Demucs (convolutional U-Net),0d19c1c6-0f06f20e__2aad324b,42.282,6,144,147,
4,Demucs (convolutional U-Net),b72baf4e-8778635e__29d4388e,44.35,6,145,147,
4,EMBER-DEMUCS-SEPARATOR-ALT,EMBER-DEMUCS-SEPARATOR-ALT,25.155,4,146,147,
4,htdemucs_embedded,htdemucs_embedded,28.092,4,147,147,
2,MDX23C-8KFFT-InstVoc_HQ_2,MDX23C-8KFFT-InstVoc_HQ_2,700.68,10,1,9,
2,MDX23C-8KFFT-InstVoc_HQ,MDX23C-8KFFT-InstVoc_HQ,719.314,10,2,9,
2,Hybrid Demucs (HDemucs),ebf34a2d,6.186,7,3,9,
2,Hybrid Demucs (HDemucs),ebf34a2db__f00f2b3c,6.619,7,4,9,
2,Hybrid Demucs (HDemucs),ebf34a2db__d105a4c8,6.737,7,5,9,
2,Hybrid Demucs (HDemucs),ebf34a2db__29d4388e,6.778,7,6,9,
2,Hybrid Demucs (HDemucs),ebf34a2db__2aad324b,7.014,7,7,9,
2,Hybrid Demucs (HDemucs),ebf34a2db__7ae9d6de,7.693,7,8,9,
2,Hybrid Demucs (HDemucs),ebf34a2db,7.807,7,9,9,
